Taxa,Identification_notes,Genus,Family,Taxon_Group,Identified,Morphology,Secondary_Morphology,Life_Span,Max_size,MS_unit,MS_cat,Growth_rate,GR_unit,GR_cat,Zooxanthellate,Calcification,Energetic_Resource,Feeding_Mode,Observation_notes
Psammocora stellata,"Verrill, 1866",Psammocora,Psammocoridae,Coral,yes,Encrusting Digitate,Digitate,Perennial,,,21-50 cm,18.7,mm yr-1,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,assumed max size category estimated from field survey
Discosoma nummiforme,"Ruppell and Leuckart, 1828",Discosoma,Discosomidae,Corallimorph,yes,Polypoid,Polypoid,,10,"cm, diameter",< 10cm,,,,Zooxanthellate,Non-Calcified,Photo-autotroph,Passive Filter-feeding,
Bare Rock,,,NA,Hard Substrate,yes,NA,,,,,,,,,NA,NA,NA,NA,
Bare Rock - exposed,,,NA,Hard Substrate,yes,NA,,,,,,,,,NA,NA,NA,NA,
Rubble,,,NA,Hard Substrate,yes,NA,,,,,,,,,NA,NA,NA,NA,
Dictyota bartayresiana,"J.V.Lamouroux, 1809",Dictyota,Dictyotacea,Phaeophyta,yes,Branched Matting,Branched,Annual,15,"cm, diameter",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Dictyota friabilis,"Setchell, 1926",Dictyota,Dictyotacea,Phaeophyta,yes,Branched Matting,Branched,Annual,15,"cm, diameter",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Fuzz,,NA,NA,Phaeophyta,yes,Filamentous,Filamentous,,,,< 10cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,max size category estimated from field survey
Hydroclathrus clathratus,"(C.Agardh) M.Howe, 1920",Hydroclathrus,Scytosiphonaceae,Phaeophyta,yes,Spherical,Spherical,unreported,15,"cm, diameter",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Lobophora variegata,"(J.V.Lamouroux) Womersley ex E.C.Oliveira, 1977",Lobophora,Dictyotacea,Phaeophyta,yes,Encrusting,Encrusting,unreported,14,"cm, length",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Padina boryana,"Thivy, 1966",Padina,Dictyotacea,Phaeophyta,yes,Branched Foliose,Foliose,Annual,5,"cm, height",< 10cm,,,,Non-zooxanthellate,Non-Articulated Calcification,Autotroph,Autotrophy,
Rosenvingea intricata,"(J.Agardh) Borgesen, 1914",Rosenvingea,Scytosiphonaceae,Phaeophyta,yes,Branched Globular,Branched,unreported,20,"cm, diameter",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
