Location,CowTagID,lat,lon,MaxMin,adj_CT_depth_cm,Season,Salinity,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V10,-17.54030501,-149.899788,Maximum,32.9,Wet,36.61,2355.541037,8.041790621002262,0.15502195,1.241850345,0.185062483,0.334172034,Inf,Inf,Inf,Inf,Inf,3.2,35.55128205,0.963518076
Varari,V10,-17.54030501,-149.899788,Minimum,32.9,Dry,36.28,2303.174091,8.037549314461437,0.21,0.88,0.45,0.26,1.346338697,0.811943713,0.006634432,0.016456198,0.024559381,4,33.6626506,0.977659115
Varari,V10,-17.54030501,-149.899788,Minimum,32.9,Wet,36.56,2329.516085,7.941249572922881,0.132885942,0.987118198,0.073660449,0.129792442,-Inf,-Inf,-Inf,-Inf,-Inf,3.2,35.55128205,0.963518076
Varari,V11,-17.54019303,-149.900068,Maximum,55.599999999999994,Dry,36.53,2369.654389,8.05364284248099,0.23,7.61,1.11,1.02,1.813311761,1.179346188,0.01230631,0.075195109,0.203995812,4.5,28.34951456,1.187867605
Varari,V11,-17.54019303,-149.900068,Maximum,55.599999999999994,Wet,36.63,2385.505837,8.042885776740297,0.173538235,3.202180346,0.540719787,0.294148198,Inf,Inf,Inf,Inf,Inf,4,30.04929577,1.076450745
Varari,V11,-17.54019303,-149.900068,Minimum,55.599999999999994,Dry,36.12,2308.380986,8.030577582844687,0.2,0.66,0.34,0.36,1.249524726,0.614996815,0.007472554,0.017209305,0.023632386,4.5,28.34951456,1.187867605
Varari,V11,-17.54019303,-149.900068,Minimum,55.599999999999994,Wet,36.37,2316.6125,7.941591869193428,0.130612012,0.977081198,0.122511503,0.092888905,-Inf,-Inf,-Inf,-Inf,-Inf,4,30.04929577,1.076450745
Varari,V12,-17.54030996,-149.900112,Maximum,54.7,Dry,36.44,2364.360097,8.058605818414089,0.24,4.18,0.75,0.76,1.856272241,1.227312444,0.011221175,0.0768341,0.207021455,3.8,31.12132353,1.101526748
Varari,V12,-17.54030996,-149.900112,Maximum,54.7,Wet,36.63,2356.102916,8.04805275096319,0.163143128,1.077105098,0.25716736,0.236962716,Inf,Inf,Inf,Inf,Inf,6.1,31.43804035,1.069535199
Varari,V12,-17.54030996,-149.900112,Minimum,54.7,Dry,36.28,2343.323603,8.023392074413712,0.19,0.85,0.44,0.26,1.220547419,0.57176654,0.00602403,0.01533125,0.018109768,3.8,31.12132353,1.101526748
Varari,V12,-17.54030996,-149.900112,Minimum,54.7,Wet,36.5,2319.751901,7.94470926351412,0.131215299,0.909244919,0.111785903,0.125171999,-Inf,-Inf,-Inf,-Inf,-Inf,6.1,31.43804035,1.069535199
Varari,V13,-17.540749,-149.899133,Maximum,72.80000000000001,Dry,36.57,2381.363434,8.070331980923482,0.24,1.89,0.59,0.49,2.000585438,1.61107823,0.011186499,0.069755626,0.196349479,3.6,36.34156379,0.949033392
Varari,V13,-17.540749,-149.899133,Maximum,72.80000000000001,Wet,36.6,2350.382849,8.034910979849021,0.164488923,1.410056627,0.34603662,1.689881996,Inf,Inf,Inf,Inf,Inf,3.4,43.58823529,0.753109559
Varari,V13,-17.540749,-149.899133,Minimum,72.80000000000001,Dry,36.43,2332.892346,8.024186752224807,0.21,1.07,0.53,0.35,1.145337574,0.600674017,0.008648431,0.015352756,0.019141076,3.6,36.34156379,0.949033392
Varari,V13,-17.540749,-149.899133,Minimum,72.80000000000001,Wet,36.38,2320.632545,7.932415829182265,0.134742211,1.170206929,0.125666091,0.132612713,-Inf,-Inf,-Inf,-Inf,-Inf,3.4,43.58823529,0.753109559
Varari,V14,-17.54039696,-149.899396,Maximum,61.8,Dry,36.38,2382.973932,8.093790972368412,0.23,3.66,0.6,0.69,2.630905795,2.207360452,0.013235275,0.080197719,0.218383297,4.5,36.73913043,0.892337536
Varari,V14,-17.54039696,-149.899396,Maximum,61.8,Wet,36.57,2354.98,8.015504621165217,0.163235941,3.467295597,0.279610003,0.272426115,Inf,Inf,Inf,Inf,Inf,4.4,31.716738200000002,1.081005846
Varari,V14,-17.54039696,-149.899396,Minimum,61.8,Dry,36.28,2307.005078,8.023751142472964,0.22,1.45,0.44,0.32,1.247032385,0.634885885,0.008579481,0.017483767,0.020414453,4.5,36.73913043,0.892337536
Varari,V14,-17.54039696,-149.899396,Minimum,61.8,Wet,36.47,2322.19,7.915014660600744,0.143002608,2.041695443,0.174607276,0.223881462,-Inf,-Inf,-Inf,-Inf,-Inf,4.4,31.716738200000002,1.081005846
Varari,V15,-17.54014299,-149.900183,Maximum,43.50000000000001,Dry,36.45,2376.479103,8.062723405526853,0.28,7.61,1.08,0.47,2.079560419,1.544297526,0.010396624,0.068866392,0.202194234,4.6,30.09271523,1.139493642
Varari,V15,-17.54014299,-149.900183,Maximum,43.50000000000001,Wet,36.59,2352.742306,8.036101701175365,0.179246262,4.175077174,0.529273138,1.451119107,Inf,Inf,Inf,Inf,Inf,6.7,31.10504202,1.011904762
Varari,V15,-17.54014299,-149.900183,Minimum,43.50000000000001,Dry,36.15,2313.6248650000002,7.982300802952059,0.18,0.65,0.39,0.26,1.197810136,0.605945325,0.007847656,0.016015341,0.015976805,4.6,30.09271523,1.139493642
Varari,V15,-17.54014299,-149.900183,Minimum,43.50000000000001,Wet,36.38,2325.725545,7.937086860496725,0.148246568,0.984003267,0.1682981,0.180377291,-Inf,-Inf,-Inf,-Inf,-Inf,6.7,31.10504202,1.011904762
