Location,CowTagID,Season,lat,lon,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V11,Wet,-17.54019303,-149.900068,36.542500000000004,28.814999999999998,2345.01406875,7.981275746151393,0.15512636575,1.5618229945,0.31237265599999997,0.19729891375,NA,NA,NA,NA,NA,4.3,31.087248322147648,1.1118573240802925
Varari,V12,Dry,-17.54030996,-149.900112,36.345,27.6075,2353.67264725,8.041797407996924,0.22,1.88,0.5675,0.4475,1.4768104527500001,0.9651273412500001,0.008941949250000001,0.03673940675,0.08019437274999999,4.4,31.0381679389313,1.0080412450463625
Varari,V12,Wet,-17.54030996,-149.900112,36.5775,28.865,2336.702701,7.986819395236072,0.14585662175,0.96341011075,0.162079054,0.19540873225,NA,NA,NA,NA,NA,4.4,31.0381679389313,1.0080412450463625
Varari,V13,Dry,-17.540749,-149.899133,36.510000000000005,27.5625,2359.0168320000002,8.050224223103639,0.22333333333333333,1.53,0.5566666666666666,0.4066666666666667,1.7101588203333333,1.12122287,0.010226806333333333,0.04148306166666667,0.090503782,3.9,34.635999999999996,0.9785501800532332
Varari,V13,Wet,-17.540749,-149.899133,36.5325,28.975,2334.6996627500002,7.974779431238349,0.15119339575000001,1.2980921575,0.23977205825,0.5913716905,NA,NA,NA,NA,NA,3.9,34.635999999999996,0.9785501800532332
Varari,V14,Dry,-17.54039696,-149.899396,36.325,27.495,2335.3393265,8.049394265462329,0.2225,2.6275,0.495,0.45,1.74481855625,1.34631615425,0.01120986825,0.0383983465,0.08002616725,4.7,25.52012383900929,1.2139206253758266
Varari,V14,Wet,-17.54039696,-149.899396,36.5125,28.915,2333.84,7.971830465974693,0.1533397065,2.9075597755,0.20405761175,0.24225822325000002,NA,NA,NA,NA,NA,4.7,25.52012383900929,1.2139206253758266
Varari,V15,Dry,-17.54014299,-149.900183,36.3675,27.435000000000002,2336.4903915,8.033880475252708,0.225,2.665,0.6000000000000001,0.3675,1.653360789,1.08048387675,0.008967568,0.03359782175,0.0711601435,4.7,28.49248120300752,1.120094323732525
Varari,V15,Wet,-17.54014299,-149.900183,36.5275,28.9,2335.6039275,7.976350365351702,0.162284603,1.95369863775,0.30326941575,0.51705456575,NA,NA,NA,NA,NA,4.7,28.49248120300752,1.120094323732525
Varari,V16,Dry,-17.54029797,-149.900492,36.4775,27.48,2347.2227414999998,8.055117402988603,0.205,1.07,0.3875,0.4575,1.85502303125,1.046128729,0.009006388,0.03722103075,0.07673310575,3.6,35.772532188841204,0.930734201485979
Varari,V16,Wet,-17.54029797,-149.900492,36.5975,28.8675,2339.30751,7.994609012936833,0.1486758305,1.0702695545,0.12591395175,0.27581644,NA,NA,NA,NA,NA,3.6,35.772532188841204,0.930734201485979
Varari,V17,Dry,-17.54031901,-149.899572,36.4525,27.4875,2345.49095175,8.043400972046769,0.23249999999999998,3.35,0.6025,0.2975,1.7182048665,1.108252157,0.011161530499999999,0.03854425425,0.08885894725,4.4,29.85409252669039,1.0746930814242552
Varari,V18,Dry,-17.54019697,-149.899906,36.4075,27.55,2356.7331245,8.045385826341224,0.24,2.79,0.595,0.33,1.676425572,0.97823003275,0.00973390575,0.039124832,0.087569736,4.6,30.38783269961977,1.0523788563883
Varari,V18,Wet,-17.54019697,-149.899906,36.4375,28.802500000000002,2352.6217500000002,7.976358971809445,0.169997543,2.779959394,0.35287161675,1.24235792075,NA,NA,NA,NA,NA,4.6,30.38783269961977,1.0523788563883
Varari,V19,Dry,-17.54050802,-149.89978,36.462500000000006,27.3175,2343.057206,8.059981792481185,0.20750000000000002,1.075,0.3525,0.2675,1.64196538025,0.893451989,0.0080158755,0.0352087845,0.086049663,3.9,30.94736842105263,1.0290809099241731
Varari,V19,Wet,-17.54050802,-149.89978,36.5725,28.92,2332.9028455,7.9925960119547526,0.14703175575,0.9303102205,0.1584244365,0.37270267474999996,NA,NA,NA,NA,NA,3.9,30.94736842105263,1.0290809099241731
Varari,V20,Dry,-17.54045103,-149.899509,36.4225,27.5475,2337.1977695,8.051684469886574,0.21250000000000002,1.3675,0.4425,0.28500000000000003,1.68407808,1.02813714425,0.0103874745,0.03693948925,0.0869239635,4,30.212927756653993,1.099130725509863
Varari,V20,Wet,-17.54045103,-149.899509,36.595,28.915,2325.32547025,7.97542242785598,0.15425623924999998,1.36281350475,0.18107418225,0.2556545075,NA,NA,NA,NA,NA,4,30.212927756653993,1.099130725509863
Varari,VSEEP,Dry,-17.540302,-149.899331,34.608,26.754,2484.8963596,7.940634259637471,0.4,43.089,3.019,0.46900000000000003,1.4192306724,1.0711312703,0.0169489746,0.0587982284,0.0945469058,7.2,22.51840490797546,1.2382724959167395
Varari,VSEEP,Wet,-17.540302,-149.899331,27.421875,28.426875,2758.524264375,7.5501734841375505,1.0394727530625,183.566386647125,8.1370816225,1.60904337425,NA,NA,NA,NA,NA,7.2,22.51840490797546,1.2382724959167395
Cabral,C1,Dry,-17.517048,-149.912693,36.0925,27.225,2332.8201325,7.957678287797232,0.185,4.98,0.28,0.1475,1.28125425925,1.14662072525,0.01730887225,0.055078404,0.09614348975,NA,NA,NA
Cabral,C1,Wet,-17.517048,-149.912693,36.45,28.65,2228.27100925,7.959643252081082,0.1516564255,4.08277184525,1.03534826075,0.55645887,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C2,Dry,-17.51706904,-149.912949,36.1125,27.225,2311.55800275,7.974030069647814,0.22666666666666668,9.246666666666666,0.43666666666666665,0.26333333333333336,1.459368821,1.043546642,0.017616219,0.06407506833333333,0.11741596333333333,NA,NA,NA
Cabral,C2,Wet,-17.51706904,-149.912949,36.56,29.5825,2288.53122825,7.948753466668407,0.180598987,2.5762364774999997,0.696830836,0.523102868,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C3,Dry,-17.51697499,-149.913111,36.1625,27.325000000000003,2322.4070325000002,7.974347418540262,0.2175,3.2649999999999997,0.6125,0.15,1.44420922325,0.99056520025000006,0.01364803575,0.0604861785,0.103779361,NA,NA,NA
Cabral,C3,Wet,-17.51697499,-149.913111,36.6025,27.59,2321.850576,7.991817590632193,0.20866626800000002,1.5216703329999999,1.028673351,0.496881477,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C4,Dry,-17.51679302,-149.912772,36.09,27.996666666666666,2310.4778656666667,7.962719650063147,0.20666666666666667,5.97,0.36333333333333334,0.24,1.3897518823333335,0.971370555,0.018111544,0.06968764166666666,0.11662257200000001,NA,NA,NA
Cabral,C4,Wet,-17.51679302,-149.912772,36.4625,29.445,2276.06794125,7.949700621408512,0.16719338025,3.93903861125,0.4356528725,0.45590438525,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C5,Dry,-17.51659596,-149.912877,36.115,27.2125,2312.5764115,8.006156148989492,0.17750000000000002,5.095,0.23,0.16749999999999998,1.159787042,1.04956569725,0.01555336275,0.054616767000000004,0.0778319175,NA,NA,NA
Cabral,C5,Wet,-17.51659596,-149.912877,36.44,29.64,2266.7174999999997,7.955235640414381,0.16750053474999999,4.019430768,0.5150330145,0.77795372575,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C6,Dry,-17.51653796,-149.913134,36.3125,27.38,2339.3640057499997,8.032758636726914,0.1575,1.54,0.2525,0.13,1.529540129,0.802388231,0.008783072,0.04521831325,0.07531545625,NA,NA,NA
Cabral,C6,Wet,-17.51653796,-149.913134,36.635000000000005,29.39,2325.778506,7.997649130176133,0.211924199,1.30123736725,0.5855416474999999,0.37480301699999996,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C7,Dry,-17.51630402,-149.913229,36.265,27.3,2340.9510145,8.030572785422187,0.2,1.955,0.515,0.25,1.379243286,0.819151671,0.005921266,0.043757015999999996,0.0916924665,NA,NA,NA
Cabral,C7,Wet,-17.51630402,-149.913229,36.5475,29.5225,2319.46591675,7.991560664139488,0.19344941525,2.24194955525,0.6521220999999999,0.49185394125000004,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C8,Dry,-17.51632397,-149.91291,36.1325,27.5675,2329.2435345,7.999733943217919,0.1975,4.28,0.375,0.1525,1.42389035575,1.2684263195,0.0130464135,0.042251198000000004,0.07592146775,NA,NA,NA
Cabral,C8,Wet,-17.51632397,-149.91291,36.4925,28.895,2288.67121475,7.971680209112227,0.179104155,3.6730716075,0.523330744,0.7873930775,NA,NA,NA,NA,NA,NA,NA,NA
