Location,CowTagID,Season,lat,lon,adj_CT_depth_cm,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V9,Wet,-17.540245,-149.899765,77,0.0011246120882496082,0.009124975163562674,0.004807208273751528,0.006266675873087434,0.07685964186525705,0.18829850455037506,0.3365826591977003,0.2356156651004597,NA,NA,NA,NA,NA,3.9,31.95864661654135,1.0175975516449889
Varari,V10,Dry,-17.54030501,-149.899788,32.9,0.002087153487420246,0.020138025316955716,0.011315326798321751,0.0019712671978323404,0.02685350089254076,0.7252566934967588,0.19215019048813464,0.25782681525913215,0.33119771948777355,0.35693392176334665,0.17194889005128836,0.8061008777601281,1.0953514841549192,4,28.625874125874127,1.155275488770399
Varari,V10,Wet,-17.54030501,-149.899788,32.9,6.694424003233335e-4,0.01168915944260949,0.004543272013292672,0.005995534300766949,0.06362281848786919,0.10806143190727223,0.38968896828445554,0.3668340374683701,NA,NA,NA,NA,NA,4,28.625874125874127,1.155275488770399
Varari,V11,Dry,-17.54019303,-149.900068,55.599999999999994,0.0049544272598986945,0.020312876604673433,0.01154147295576953,0.001365403469803171,0.05921438772761373,1.279521405366305,0.5513290215863886,0.5770793526202586,0.15842377833571802,0.27289691646577935,0.2395882826723657,0.6545968412318555,0.9929372781131399,4.3,31.087248322147648,1.1118573240802925
Varari,V11,Wet,-17.54019303,-149.900068,55.599999999999994,0.0032020632265569184,0.012780992901723813,0.012362114774365506,0.005927114772018969,0.11854677754458078,0.7006176301404183,0.6322755272779434,0.4478083834642356,NA,NA,NA,NA,NA,4.3,31.087248322147648,1.1118573240802925
Varari,V12,Dry,-17.54030996,-149.900112,54.7,0.0021722784944883454,0.020967890162534798,0.004192495541607882,0.00194971367476079,0.09819304088496757,0.836747946155894,0.23701368513785817,0.534875479193485,0.197790125321537,0.28870022319373423,0.26281331012913434,0.7813442232806364,1.1099019649354616,4.4,31.0381679389313,1.0080412450463625
Varari,V12,Wet,-17.54030996,-149.900112,54.7,0.001520135540301421,0.013187504805594497,0.006515383239228373,0.005890346177086344,0.09252381843620781,0.07980300662149033,0.4082288840290883,0.24996545154671165,NA,NA,NA,NA,NA,4.4,31.0381679389313,1.0080412450463625
Varari,V13,Dry,-17.540749,-149.899133,72.80000000000001,0.0015970835099549051,0.02164819248206295,0.008854334637584532,0.0024061910812708132,0.06839665216351999,0.2738866253563001,0.05488114604737527,0.18125692120898346,0.28606420597441634,0.4512045990399661,0.1346956427295285,0.6572472805972726,1.0331214798405857,3.9,34.635999999999996,0.9785501800532332
Varari,V13,Wet,-17.540749,-149.899133,72.80000000000001,0.0028567206741856614,0.01345692909566586,0.005462850034908242,0.006166555912221369,0.08518553415083574,0.08289427928213756,0.40576557490851684,1.2439674093837931,NA,NA,NA,NA,NA,3.9,34.635999999999996,0.9785501800532332
Varari,V14,Dry,-17.54039696,-149.899396,61.8,0.0013202564413799934,0.02276459963500793,0.014489816638493155,0.00392084363530288,0.02247191011235957,0.36351650079991094,0.14427128138470402,0.3775598499962861,0.37259548657242675,0.4843101167466968,0.20728074569164695,0.7617362842022594,1.1748921383167992,4.7,25.52012383900929,1.2139206253758266
